,0
0,234.40405847568886
1,233.96906780767299
2,233.3736004710524
3,232.79575889806677
4,232.2310799459773
5,231.67886310103017
6,231.1382863825484
7,230.6084418473476
8,230.088283430056
9,229.57657543498252
10,229.07184586678704
11,228.5723505578783
12,228.07605221740715
13,227.58061617142926
14,227.08342411993073
15,226.58161027190235
16,226.0721284780357
17,225.5518583909007
18,225.0177486407979
19,224.46697889793927
20,223.89711114428084
21,223.30620202393425
22,222.6928613843777
23,222.05625823037457
24,221.39608632834646
25,220.7125052582008
26,220.006070851376
27,219.27766484799233
28,218.5284295129162
29,217.75970985462422
30,216.97300412378627
31,216.1699221961312
32,215.35215096377365
33,214.5214257227503
34,213.67950658413764
35,212.82815905100136
36,211.96913803882418
37,211.10417474637245
38,210.2349658963758
39,209.36316495826452
40,208.4903750396662
41,207.61814319203418
42,206.74795592158011
43,205.88123573231562
44,205.01933855578602
45,204.16355194386728
46,203.31509391826623
47,202.47511238425543
48,201.64468502755665
49,200.8248196227995
50,200.01645469012107
51,199.22046044358274
52,198.43763998141642
53,197.66873067385012
54,196.914405709524
55,196.17527576636306
56,195.45189077726604
57,194.74474176512908
58,194.05426272554104
59,193.38083253898006
60,192.72477689748288
61,192.08637023356567
62,191.46583764162736
63,190.8633567841797
64,190.27905977703014
65,189.71303504900786
66,189.1653291730013
67,188.63594866599095
68,188.12486175644972
69,187.63200011798997
70,187.15726056848212
71,186.70050673410955
72,186.26157067798118
73,185.84025449302783
74,185.43633185899125
75,185.04954956338509
76,184.67962898639016
77,184.32626754973884
78,183.98914012975553
79,183.66790043484502
80,183.36218234785963
81,183.07160123392026
82,182.79575521440228
83,182.534226407932
84,182.28658213934884
85,182.0523761176808
86,181.8311495842431
87,181.62243243200248
88,181.42574429735473
89,181.2405956254321
90,181.06648871000647
91,180.9029187089686
92,180.7493746362679
93,180.6053403310725
94,180.47029540478565
95,180.343716166409
96,180.22507652660997
97,180.11384888070108
98,180.0095049706112
99,179.91151672579446
100,179.8193570829068
101,179.73250078397356
102,179.65042515267731
103,179.57261084832058
104,179.49854259694916
105,179.42770989908206
106,179.3596077134519
107,179.29373711615136
108,179.2296059345676
109,179.16672935550417
110,179.1046305069021
111,179.04284101261158
112,178.9809015197
113,178.91836219783764
114,178.85478321035453
115,178.78973515662966
116,178.7227994855387
117,178.6535688797599
118,178.5816476108144
119,178.50665186478895
120,178.42821003877367
121,178.3459630081192
122,178.25956436469826
123,178.1686806264302
124,178.0729914184037
125,177.97218962599837
126,177.86598152048106
127,177.75408685761045
128,177.63623894984985
129,177.5121847128394
130,177.38168468683648
131,177.24451303387576
132,177.1004575114488
133,176.94931942353563
134,176.79091354986127
135,176.62506805427319
136,176.45162437316412
137,176.27043708488452
138,176.0813737611022
139,175.88431480108102
140,175.67915324985503
141,175.46579460128157
142,175.2441565869516
143,175.01416895193665
144,174.77577321834121
145,174.52892243762022
146,174.27358093260852
147,174.00972403019387
148,173.7373377855452
149,173.4564186987887
150,173.1669734250034
151,172.86901847838016
152,172.56257993136717
153,172.24769310959385
154,171.9244022833407
155,171.59276035629034
156,171.25282855227
157,170.90467610065843
158,170.54837992110927
159,170.18402430820058
160,169.81170061660097
161,169.43150694730141
162,169.04354783543903
163,168.64793394020316
164,168.24478173728602
165,167.8342132143111
166,167.41635556964164
167,166.99134091494298
168,166.55930598184653
169,166.12039183303216
170,165.6747435780237
171,165.22251009396405
172,164.7638437516086
173,164.29890014676192
174,163.82783783734396
175,163.35081808626686
176,162.86800461026792
177,162.37956333483436
178,161.88566215532904
179,161.386470704413
180,160.8821601258407
181,160.3729028546863
182,159.85887240404833
183,159.3402431582587
184,158.81719017261537
185,158.28988897963814
186,157.75851540184084
187,157.22324537099814
188,156.68425475387488
189,156.14171918437918
190,155.59581390208666
191,155.04671359707942
192,154.49459226103278
193,153.93962304447652
194,153.3819781201511
195,152.82182855237474
196,152.2593441723283
197,151.6946934591653
198,151.1280434268454
199,150.5595595165893
200,149.98940549484738
201,149.417743356674
202,148.8447332343943
203,148.27053331144862
204,147.69529974130225
205,147.1191865712982
206,146.54234567133952
207,145.96492666727784
208,145.38707687889223
209,144.8089412623339
210,144.2306623569217
211,143.6523802361634
212,143.07423246288656
213,142.49635404835817
214,141.91887741527455
215,141.3419323645037
216,140.7656460454641
217,140.19014293002323
218,139.6155447898003
219,139.0419706767632
220,138.46953690700315
221,137.89835704757945
222,137.3285419063257
223,136.7601995245069
224,136.1934351722251
225,135.62835134646707
226,135.06504777169292
227,134.50362140286424
228,133.94416643081325
229,133.38677428985594
230,132.8315336675542
231,132.27853051653284
232,131.72784806826178
233,131.17956684871166
234,130.63376469579714
