,0,1,2,3
0,-5.0,-5.0,-5.0,0.0
1,-4.999999993371696,-4.999999993661608,-4.999882397773857,0.0
2,-4.999999893915518,-4.99999989855304,-4.999531098217206,0.0
3,-4.999999464781367,-4.999999488149302,-4.998949103327569,0.0
4,-4.999998316032342,-4.999998389447047,-4.99813939002664,0.0
5,-4.99999590908594,-4.999996087155588,-4.997104908944516,0.0
6,-4.999991561164325,-4.999991927897957,-4.995848583117809,0.0
7,-4.9999844497525565,-4.999985124420098,-4.994373306621003,0.0
8,-4.999973617063537,-4.999974759806149,-4.992681943149301,0.0
9,-4.999957974508411,-4.999959791697639,-4.990777324570035,0.0
10,-4.999936307170897,-4.999939056514292,-4.988662249458664,0.0
11,-4.999907278283951,-4.999911273674025,-4.98633948163427,0.0
12,-4.999869433706921,-4.999875049809592,-4.983811748708431,0.0
13,-4.999821206401166,-4.999828882979258,-4.981081740660295,0.0
14,-4.9997609209019345,-4.999771166868771,-4.978152108449732,0.0
15,-4.999686797784056,-4.999700194981844,-4.975025462679362,0.0
16,-4.999596958118857,-4.999614164816275,-4.971704372315415,0.0
17,-4.999489427919462,-4.999511182022801,-4.968191363476371,0.0
18,-4.999362142571554,-4.999389264543749,-4.964488918297438,0.0
19,-4.999212951246404,-4.999246346728494,-4.960599473878078,0.0
20,-4.999039621292956,-4.999080283422765,-4.9565254213189,0.0
21,-4.998839842605538,-4.998888854028825,-4.952269104853444,0.0
22,-4.998611231963715,-4.9986697665335775,-4.94783282107957,0.0
23,-4.998351337340743,-4.998420661501664,-4.943218818294399,0.0
24,-4.9980576421769625,-4.998139116030712,-4.938429295936026,0.0
25,-4.9977275696145105,-4.997822647665888,-4.933466404134503,0.0
26,-4.997358486689679,-4.997468718271032,-4.928332243373927,0.0
27,-4.996947708479263,-4.9970747378536995,-4.923028864266814,0.0
28,-4.9964925021973094,-4.996638068341549,-4.917558267441327,0.0
29,-4.995990091238689,-4.996156027307583,-4.911922403541357,0.0
30,-4.995437659166039,-4.995625891641892,-4.9061231733388775,0.0
31,-4.994832353636678,-4.995044901167658,-4.900162427957515,0.0
32,-4.9941712902662525,-4.9944102621992705,-4.89404196920577,0.0
33,-4.993451556425978,-4.993719151040585,-4.887763550017877,0.0
34,-4.992670214970495,-4.992968717421434,-4.881328874999867,0.0
35,-4.99182430789353,-4.992156087870692,-4.874739601078044,0.0
36,-4.990910859908711,-4.991278369024284,-4.867997338246688,0.0
37,-4.989926881953104,-4.990332650866727,-4.861103650411505,0.0
38,-4.988869374611188,-4.989316009904869,-4.854060056325057,0.0
39,-4.98773533145723,-4.9882255122727175,-4.846868030610134,0.0
40,-4.986521742314213,-4.9870582167663295,-4.839529004866801,0.0
41,-4.985225596427681,-4.985811177807898,-4.8320443688586785,0.0
42,-4.983843885553087,-4.9844814483383395,-4.824415471773809,0.0
43,-4.982373606955464,-4.98306608263779,-4.816643623555348,0.0
44,-4.980811766320422,-4.981562139073574,-4.808730096297196,0.0
45,-4.979155380575738,-4.979966682775362,-4.800676125699591,0.0
46,-4.977401480622968,-4.978276788237315,-4.792482912579619,0.0
47,-4.975547113978788,-4.976489541847203,-4.7841516244315585,0.0
48,-4.973589347325908,-4.9746020443425545,-4.775683397031966,0.0
49,-4.971525268973667,-4.972611413194042,-4.767079336084385,0.0
50,-4.969351991228559,-4.970514784916408,-4.758340518898607,0.0
51,-4.967066652675181,-4.968309317307343,-4.749467996099438,0.0
52,-4.964666420368218,-4.965992191614824,-4.740462793359985,0.0
53,-4.962148491936295,-4.963560614633538,-4.731325913154546,0.0
54,-4.959510097598678,-4.961011820731047,-4.72205833652628,0.0
55,-4.95674850209592,-4.958343073804513,-4.712661024864926,0.0
56,-4.953861006535758,-4.955551669168803,-4.7031349216899425,0.0
57,-4.950844950155635,-4.952634935376892,-4.6934809544346034,0.0
58,-4.947697712003371,-4.949590235973563,-4.683700036226658,0.0
59,-4.944416712537614,-4.946414971183413,-4.673793067661355,0.0
60,-4.940999415149807,-4.943106579534267,-4.663760938562743,0.0
61,-4.937443327609456,-4.939662539417117,-4.653604529729355,0.0
62,-4.933746003434631,-4.936080370583748,-4.643324714660493,0.0
63,-4.929905043189621,-4.932357635583245,-4.632922361259541,0.0
64,-4.9259180957117765,-4.9284919411386054,-4.6223983335108745,0.0
65,-4.9217828592695865,-4.92448093946468,-4.61175349312712,0.0
66,-4.917497082654095,-4.920322329528704,-4.600988701163681,0.0
67,-4.913058566205756,-4.916013858254683,-4.590104819597627,0.0
68,-4.908465162778882,-4.911553321672877,-4.579102712868225,0.0
69,-4.903714778645808,-4.906938566015676,-4.56798324937653,0.0
70,-4.89880537434293,-4.902167488761097,-4.556747302941696,0.0
71,-4.893734965460733,-4.8972380396251705,-4.54539575421175,0.0
72,-4.888501623379927,-4.892148221504449,-4.533929492026825,0.0
73,-4.883103475955781,-4.886896091369862,-4.522349414732959,0.0
74,-4.877538708152715,-4.8814797611131,-4.5106564314447635,0.0
75,-4.871805562631159,-4.875897398346747,-4.498851463255409,0.0
76,-4.865902340288674,-4.870147227159261,-4.486935444392554,0.0
77,-4.859827400757245,-4.864227528825992,-4.4749093233189665,0.0
78,-4.853579162858635,-4.858136642477276,-4.462774063776785,0.0
79,-4.8471561050196135,-4.851872965724713,-4.4505306457744584,0.0
80,-4.840556765648815,-4.845434955246647,-4.438180066515601,0.0
81,-4.833779743476927,-4.838821127333848,-4.425723341269098,0.0
82,-4.826823697861823,-4.832030058396361,-4.413161504179946,0.0
83,-4.819687349060206,-4.825060385432458,-4.400495609020455,0.0
84,-4.8123694784672395,-4.8179108064605725,-4.38772672988153,0.0
85,-4.804868928825582,-4.810580080915087,-4.374855961803915,0.0
86,-4.797184604405156,-4.803067030006782,-4.361884421349364,0.0
87,-4.789315471154921,-4.795370537048734,-4.348813247111826,0.0
88,-4.781260556827826,-4.7874895477484,-4.33564360016884,0.0
89,-4.773018951080067,-4.779423070466619,-4.3223766644734525,0.0
90,-4.764589805545664,-4.771170176444172,-4.309013647187032,0.0
91,-4.755972333887339,-4.762729999996569,-4.295555778953481,0.0
92,-4.747165811824578,-4.754101738677662,-4.282004314115433,0.0
93,-4.738169577139676,-4.745284653412632,-4.268360530873094,0.0
94,-4.728983029662532,-4.736278068600938,-4.2546257313864695,0.0
95,-4.719605631234864,-4.727081372189688,-4.240801241821814,0.0
96,-4.710036905654435,-4.717694015717958,-4.2268884123431985,0.0
97,-4.700276438599861,-4.708115514332479,-4.212888617050157,0.0
98,-4.690323877536465,-4.698345446775143,-4.198803253862462,0.0
99,-4.6801789316036,-4.688383455342722,-4.184633744353107,0.0
100,-4.669841371483812,-4.678229245819182,-4.170381533530674,0.0
101,-4.659311029254142,-4.667882587380958,-4.156048089572278,0.0
102,-4.648587798219848,-4.657343312475524,-4.141634903508368,0.0
103,-4.6376716327307195,-4.6466113166735825,-4.127143488860691,0.0
104,-4.626562547980189,-4.63568655849519,-4.112575381234773,0.0
105,-4.615260619787335,-4.624569059210099,-4.097932137868341,0.0
106,-4.603765984361872,-4.613258902612608,-4.083215337137093,0.0
107,-4.592078838052175,-4.601756234771188,-4.068426578019329,0.0
108,-4.58019943707635,-4.590061263753145,-4.053567479520931,0.0
109,-4.568128097236339,-4.578174259324581,-4.038639680062252,0.0
110,-4.555865193615027,-4.566095552625892,-4.023644836828471,0.0
111,-4.543411160256276,-4.553825535823066,-4.00858462508503,0.0
112,-4.530766489827814,-4.541364661735002,-3.993460737459746,0.0
113,-4.5179317332668845,-4.528713443437128,-3.978274883193274,0.0
114,-4.504907499408544,-4.515872453841526,-3.963028787359547,0.0
115,-4.491694454596482,-4.502842325253836,-3.947724190057884,0.0
116,-4.478293322276249,-4.489623748907181,-3.9323628455784494,0.0
117,-4.464704882570758,-4.4762174744733745,-3.9169465215427524,0.0
118,-4.450929971837928,-4.46262430955167,-3.901476998020904,0.0
119,-4.4369694822103405,-4.448845119135314,-3.8859560666273256,0.0
120,-4.42282436111679,-4.434880825056207,-3.8703855295966334,0.0
121,-4.408495610785607,-4.420732405407927,-3.854767198841399,0.0
122,-4.393984287729654,-4.406400893947444,-3.8391028949935118,0.0
123,-4.37929150221288,-4.391887379475823,-3.8233944464308314,0.0
124,-4.364418417698386,-4.377193005198232,-3.807643688290847,0.0
125,-4.349366250277898,-4.362318968063605,-3.7918524614730265,0.0
126,-4.334136268082634,-4.3472665180842975,-3.776022611631529,0.0
127,-4.318729790675516,-4.3320369576361015,-3.760155988159964,0.0
128,-4.30314818842473,-4.316631640738998,-3.744254443169835,0.0
129,-4.28739288185865,-4.3010519723190335,-3.7283198304643053,0.0
130,-4.271465341002169,-4.285299407451738,-3.7123540045089074,0.0
131,-4.2553670846945035,-4.269375450587489,-3.6963588194007784,0.0
132,-4.239099679888564,-4.253281654759273,-3.680336127837995,0.0
133,-4.222664740932011,-4.237019620773294,-3.664287780090561,0.0
134,-4.206063928830149,-4.220590996382888,-3.6482156229745444,0.0
135,-4.189298950490842,-4.20399747544623,-3.6321214988308714,0.0
136,-4.17237155795164,-4.187240797068341,-3.616007244510218,0.0
137,-4.155283547589375,-4.170322744727883,-3.5998746903654313,0.0
138,-4.138036759312481,-4.153245145389285,-3.5837256592528632,0.0
139,-4.120633075736336,-4.136009868600743,-3.567561965543974,0.0
140,-4.103074421341959,-4.118618825578625,-3.55138541414851,0.0
141,-4.085362761618407,-4.101073968278863,-3.535197799550547,0.0
142,-4.067500102189276,-4.083377288455912,-3.519000904858613,0.0
143,-4.049488487923694,-4.065530816709847,-3.5027965008711037,0.0
144,-4.03133000203228,-4.047536621522215,-3.4865863451581207,0.0
145,-4.013026765148519,-4.029396808281243,-3.470372181160851,0.0
146,-3.9945809343960503,-4.011113518297021,-3.4541557373095397,0.0
147,-3.9759947024424065,-3.992688927807299,-3.4379387261610743,0.0
148,-3.957270296539742,-3.9741252469745056,-3.4217228435571343,0.0
149,-3.9384099775531247,-3.955424718874671,-3.405509767803842,0.0
150,-3.9194160389769905,-3.9365896184788656,-3.3893011588737627,0.0
151,-3.900290805940376,-3.9176222516278294,-3.3730986576310897,0.0
152,-3.881036634201569,-3.898524954000443,-3.356903885080773,0.0
153,-3.8616559091328306,-3.879300090076706,-3.3407184416423137,0.0
154,-3.8421510446958713,-3.8599500520958734,-3.3245439064488913,0.0
155,-3.822524482408766,-3.840477259010438,-3.308381836672443,0.0
156,-3.8027786903050185,-3.8208841554366,-3.292233766875256,0.0
157,-3.7829161618854945,-3.801173210601908,-3.2761012083885954,0.0
158,-3.7629394150639563,-3.7813469172907217,-3.2599856487188217,0.0
159,-3.7428509911069394,-3.761407790788172,-3.2438885509814193,0.0
160,-3.7226534535687246,-3.74135836782326,-3.227811353363294,0.0
161,-3.7023493872221644,-3.721201205511767,-3.2117554686136556,0.0
162,-3.6819413969861268,-3.7009388802996117,-3.1957222835637396,0.0
163,-3.6614321068503255,-3.680573986907307,-3.1797131586755945,0.0
164,-3.6408241587983063,-3.6601091372761463,-3.163729427620088,0.0
165,-3.620120211729366,-3.639546959516756,-3.1477723968842524,0.0
166,-3.599322940380169,-3.618890096860631,-3.1318433454080465,0.0
167,-3.578435034246838,-3.5981412066152663,-3.1159435242505396,0.0
168,-3.557459196508275,-3.577302959123489,-3.1000741562855167,0.0
169,-3.536398142951489,-3.5563780367275784,-3.084236435926425,0.0
170,-3.5152546008996675,-3.5353691327387615,-3.0684315288805553,0.0
171,-3.4940313081437497,-3.5142789504126455,-3.0526605719323103,0.0
172,-3.4727310118782393,-3.4931102019311506,-3.0369246727553634,0.0
173,-3.4513564676419755,-3.4718656073914804,-3.021224909753478,0.0
174,-3.429910438264591,-3.4505478938026632,-3.005562331929716,0.0
175,-3.4083956928193437,-3.4291597940901815,-2.9899379587837296,0.0
176,-3.3868150055830313,-3.4077040461091843,-2.974352780236789,0.0
177,-3.3651711550036394,-3.386183391666776,-2.958807756584177,0.0
178,-3.3434669226764067,-3.3646005755538466,-2.9433038184745284,0.0
